INSERT INTO Candidate VALUES ('C001',  'Arpitha', 'Kulkarni', 9098288, 'BJP', 1 , 1751, 'EL002');
INSERT INTO Candidate VALUES ('C052',  'Amit', 'Sheikh', 9872573, 'INC', 12 , 1407, 'EL003');
INSERT INTO Candidate VALUES ('C053',  'Nihal', 'Dhamdhame', 8010800, 'AAP', 12 , 1734, 'EL003');
INSERT INTO Candidate VALUES ('C054',  'Tanveer', 'Rai', 8377469, 'TRS', 12 , 1758, 'EL003');
INSERT INTO Candidate VALUES ('C055',  'Anupama', 'Almeida', 6090958, 'BJP', 13 , 1584, 'EL008');
INSERT INTO Candidate VALUES ('C056',  'Prithvi', 'Nagane', 9833494, 'INC', 13 , 1637, 'EL008');
INSERT INTO Candidate VALUES ('C057',  'Neel', 'Acharya', 8311122, 'DMK', 13 , 1866, 'EL008');
INSERT INTO Candidate VALUES ('C058',  'Mayra', 'Nayak', 7370860, 'BSP', 13 , 2151, 'EL008');
INSERT INTO Candidate VALUES ('C059',  'Sarthak', 'Pai', 7310873, 'SP', 13 , 2622, 'EL008');
INSERT INTO Candidate VALUES ('C060',  'Avni', 'Vernekar', 9205893, 'BJP', 14 , 1531, 'EL002');
INSERT INTO Candidate VALUES ('C061',  'Namratha', 'Tipparti', 7348806, 'INC', 14 , 1555, 'EL002');
INSERT INTO Candidate VALUES ('C062',  'Balvan', 'Dhamdhame', 7781154, 'TRS', 14 , 1769, 'EL002');
INSERT INTO Candidate VALUES ('C063',  'Harshil', 'Prabhakaran', 7891276, 'BSP', 14 , 1855, 'EL002');
INSERT INTO Candidate VALUES ('C064',  'Smruthi', 'Manjunath', 8852021, 'AAP', 14 , 2019, 'EL002');
INSERT INTO Candidate VALUES ('C065',  'Mitesh', 'Gugale', 8115975, 'BJP', 15 , 1492, 'EL004');
INSERT INTO Candidate VALUES ('C066',  'Kavya', 'Chiplunkar', 5142238, 'INC', 15 , 1706, 'EL004');
INSERT INTO Candidate VALUES ('C067',  'Vaani', 'Bangera', 5642793, 'BSP', 15 , 1772, 'EL004');
INSERT INTO Candidate VALUES ('C068',  'Javeria', 'Saha', 7067639, 'TMC', 15 , 2102, 'EL004');
INSERT INTO Candidate VALUES ('C069',  'Aayush', 'Chavare', 6050394, 'BJP', 16 , 1163, 'EL003');
INSERT INTO Candidate VALUES ('C070',  'Divya', 'Dalvi', 9714408, 'INC', 16 , 1308, 'EL003');
INSERT INTO Candidate VALUES ('C071',  'Manisha', 'Dhamdhame', 8921734, 'JDU', 16 , 1358, 'EL003');
INSERT INTO Candidate VALUES ('C072',  'Shraddha', 'Adiga', 5671575, 'TRS', 16 , 1384, 'EL003');
INSERT INTO Candidate VALUES ('C073',  'Shwetha', 'Dawangave', 9290332, 'TMC', 16 , 1392, 'EL003');
INSERT INTO Candidate VALUES ('C074',  'Zayan', 'Keshri', 7056501, 'BJP', 17 , 1475, 'EL002');
INSERT INTO Candidate VALUES ('C075',  'Ekansh', 'Chiplunkar', 9875141, 'INC', 17 , 2000, 'EL002');
INSERT INTO Candidate VALUES ('C076',  'Suhasini', 'Bhat', 6228287, 'SS', 17 , 2268, 'EL002');
INSERT INTO Candidate VALUES ('C077',  'Prajna', 'Pai', 6006758, 'JDU', 17 , 2313, 'EL002');
INSERT INTO Candidate VALUES ('C078',  'Anirudh', 'Mendonsa', 9628090, 'BJP', 18 , 1773, 'EL004');
INSERT INTO Candidate VALUES ('C079',  'Abitha', 'Kavser', 6651378, 'INC', 18 , 1840, 'EL004');
INSERT INTO Candidate VALUES ('C080',  'Joseph', 'Singh', 6146990, 'SP', 18 , 2043, 'EL004');
INSERT INTO Candidate VALUES ('C081',  'Pranay', 'Shroff', 9495382, 'BSP', 18 , 2272, 'EL004');
INSERT INTO Candidate VALUES ('C082',  'Javeria', 'Acharya', 7033413, 'BJP', 19 , 1093, 'EL005');
INSERT INTO Candidate VALUES ('C083',  'Likhitha', 'Kini', 7118549, 'INC', 19 , 1414, 'EL005');
INSERT INTO Candidate VALUES ('C084',  'Aparna', 'Manjunath', 6246403, 'SS', 19 , 1432, 'EL005');
INSERT INTO Candidate VALUES ('C085',  'Rayaan', 'Anchan', 7048177, 'TRS', 19 , 1486, 'EL005');
INSERT INTO Candidate VALUES ('C086',  'Swarna', 'Bharanya', 7494627, 'BSP', 19 , 1577, 'EL005');
INSERT INTO Candidate VALUES ('C087',  'Kairav', 'Nand', 9672405, 'BJP', 20 , 1297, 'EL008');
INSERT INTO Candidate VALUES ('C088',  'Darsh', 'Prabhu', 7104497, 'INC', 20 , 1401, 'EL008');
INSERT INTO Candidate VALUES ('C089',  'Reshma', 'Shah', 6054386, 'DMK', 20 , 1515, 'EL008');
INSERT INTO Candidate VALUES ('C090',  'Prithvi', 'Suvarna', 5302192, 'AAP', 20 , 1851, 'EL008');
INSERT INTO Candidate VALUES ('C091',  'Harsh', 'Suvarna', 9723424, 'SP', 20 , 1962, 'EL008');
INSERT INTO Candidate VALUES ('C092',  'Anujna', 'Nayak', 7897934, 'BJP', 21 , 1265, 'EL002');
INSERT INTO Candidate VALUES ('C093',  'Nachiket', 'Sullad', 9318479, 'INC', 21 , 1405, 'EL002');
INSERT INTO Candidate VALUES ('C094',  'Chatura', 'Salian', 8940156, 'TRS', 21 , 1422, 'EL002');
INSERT INTO Candidate VALUES ('C095',  'Kalpit', 'Chatterjee', 8499180, 'JDU', 21 , 1760, 'EL002');
INSERT INTO Candidate VALUES ('C096',  'Karan', 'Sullad', 9174502, 'SS', 21 , 1838, 'EL002');
INSERT INTO Candidate VALUES ('C097',  'Ryan', 'Shetty', 6112276, 'BJP', 22 , 3157, 'EL003');
INSERT INTO Candidate VALUES ('C098',  'Javeria', 'Kulkarni', 6855863, 'INC', 22 , 3913, 'EL003');
INSERT INTO Candidate VALUES ('C099',  'Dinella', 'Kumari', 8237984, 'AAP', 22 , 4404, 'EL003');
INSERT INTO Candidate VALUES ('C100',  'Soumyashree', 'Banerjee', 9407819, 'SS', 22 , 4793, 'EL003');
INSERT INTO Candidate VALUES ('C101',  'Parimala', 'Shenoy', 6405290, 'SP', 22 , 4803, 'EL003');
INSERT INTO Candidate VALUES ('C102',  'Harish', 'Saldanha', 8491794, 'BJP', 23 , 1173, 'EL006');
INSERT INTO Candidate VALUES ('C103',  'Divyesh', 'Singh', 6854163, 'INC', 23 , 1197, 'EL006');
INSERT INTO Candidate VALUES ('C104',  'Mishka', 'Nayak', 8162969, 'JDU', 23 , 1205, 'EL006');
INSERT INTO Candidate VALUES ('C105',  'Raghav', 'Shah', 9090147, 'AAP', 23 , 1266, 'EL006');
INSERT INTO Candidate VALUES ('C106',  'Aashish', 'Moolya', 7967032, 'TRS', 23 , 1374, 'EL006');
INSERT INTO Candidate VALUES ('C107',  'Baljiwan', 'Mathew', 9420690, 'DMK', 23 , 1421, 'EL006');
INSERT INTO Candidate VALUES ('C108',  'Nihal', 'Kouser', 9334340, 'BJP', 24 , 1035, 'EL001');
INSERT INTO Candidate VALUES ('C109',  'Sangeetha', 'Saniel', 8775606, 'INC', 24 , 1068, 'EL001');
INSERT INTO Candidate VALUES ('C110',  'Harsh', 'Raval', 5502172, 'TRS', 24 , 1151, 'EL001');
INSERT INTO Candidate VALUES ('C111',  'Balendra', 'Hiremath', 5481323, 'BSP', 24 , 1160, 'EL001');
INSERT INTO Candidate VALUES ('C112',  'Dhanashri', 'Shet', 7933318, 'AAP', 24 , 1172, 'EL001');
INSERT INTO Candidate VALUES ('C113',  'Madhav', 'Prajapati', 7906141, 'SS', 24 , 1472, 'EL001');
INSERT INTO Candidate VALUES ('C114',  'Prathiksha', 'Sheikh', 6211701, 'DMK', 24 , 1576, 'EL001');
INSERT INTO Candidate VALUES ('C115',  'Ryan', 'Dsouza', 9550713, 'BJP', 25 , 1290, 'EL003');
INSERT INTO Candidate VALUES ('C116',  'Vidya', 'Bangera', 9988126, 'INC', 25 , 1770, 'EL003');
INSERT INTO Candidate VALUES ('C117',  'Sonali', 'Babu', 8779437, 'DMK', 25 , 1799, 'EL003');
INSERT INTO Candidate VALUES ('C118',  'Umang', 'Nand', 9092517, 'TRS', 25 , 2647, 'EL003');
INSERT INTO Candidate VALUES ('C119',  'Aayushi', 'Belligatti', 6323019, 'BJP', 26 , 1642, 'EL008');
INSERT INTO Candidate VALUES ('C120',  'Shravya', 'Gupta', 5922649, 'INC', 26 , 1674, 'EL008');
INSERT INTO Candidate VALUES ('C121',  'Kavitha', 'Prabhu', 5566676, 'BSP', 26 , 1867, 'EL008');
INSERT INTO Candidate VALUES ('C122',  'Nachiket', 'Anand', 5370968, 'DMK', 26 , 2110, 'EL008');
INSERT INTO Candidate VALUES ('C123',  'Supriya', 'Keshri', 6542819, 'BJP', 27 , 1314, 'EL002');
INSERT INTO Candidate VALUES ('C124',  'Nakul', 'Bhat', 7899343, 'INC', 27 , 1402, 'EL002');
INSERT INTO Candidate VALUES ('C125',  'Sapna', 'Gugale', 7492537, 'DMK', 27 , 1512, 'EL002');
INSERT INTO Candidate VALUES ('C126',  'Neeti', 'Saha', 7212885, 'JDU', 27 , 1523, 'EL002');
INSERT INTO Candidate VALUES ('C127',  'Navami', 'Sullad', 7184452, 'TRS', 27 , 1857, 'EL002');
INSERT INTO Candidate VALUES ('C128',  'Vaishnavi', 'Chatterjee', 9051752, 'BJP', 28 , 1367, 'EL004');
INSERT INTO Candidate VALUES ('C129',  'Niva', 'Kavser', 9529008, 'INC', 28 , 1459, 'EL004');
INSERT INTO Candidate VALUES ('C130',  'Meghana', 'Kavser', 6965078, 'SS', 28 , 1553, 'EL004');
INSERT INTO Candidate VALUES ('C131',  'Abhijith', 'Kulkarni', 7903485, 'DMK', 28 , 1774, 'EL004');
INSERT INTO Candidate VALUES ('C132',  'Kahaan', 'Bharanya', 9316951, 'SP', 28 , 1941, 'EL004');
INSERT INTO Candidate VALUES ('C133',  'Avi', 'Shenoy', 9745841, 'BJP', 29 , 1684, 'EL008');
INSERT INTO Candidate VALUES ('C134',  'Nikhitha', 'Prabhakaran', 6825159, 'INC', 29 , 2241, 'EL008');
INSERT INTO Candidate VALUES ('C135',  'Vidya', 'Saldanha', 8763916, 'DMK', 29 , 2300, 'EL008');
INSERT INTO Candidate VALUES ('C136',  'Swathi', 'Saldanha', 8790832, 'BJP', 30 , 1165, 'EL005');
INSERT INTO Candidate VALUES ('C137',  'Supriya', 'Saniel', 6947940, 'INC', 30 , 1188, 'EL005');
INSERT INTO Candidate VALUES ('C138',  'Anusree', 'Chiplunkar', 5328049, 'SP', 30 , 1824, 'EL005');
INSERT INTO Candidate VALUES ('C139',  'Abhinav', 'Bansal', 8786738, 'TRS', 30 , 1849, 'EL005');
INSERT INTO Candidate VALUES ('C140',  'Vidya', 'Belligatti', 5610576, 'BJP', 31 , 2114, 'EL006');
INSERT INTO Candidate VALUES ('C141',  'Harish', 'Suvarna', 7546200, 'INC', 31 , 6984, 'EL006');
INSERT INTO Candidate VALUES ('C142',  'Gunbir', 'Anchan', 5882223, 'DMK', 31 , 10054, 'EL006');
INSERT INTO Candidate VALUES ('C143',  'Suchita', 'Sullad', 6161749, 'TRS', 31 , 5526, 'EL006');
INSERT INTO Candidate VALUES ('C144',  'Meghana', 'Pujari', 5004340, 'SP', 31 , 5650, 'EL006');
INSERT INTO Candidate VALUES ('C145',  'Meera', 'Uchil', 7966542, 'BJP', 32 , 1740, 'EL004');
INSERT INTO Candidate VALUES ('C146',  'Pranay', 'Anand', 8260666, 'INC', 32 , 1902, 'EL004');
INSERT INTO Candidate VALUES ('C147',  'Aayushi', 'Prabhu', 5571342, 'DMK', 32 , 2299, 'EL004');
INSERT INTO Candidate VALUES ('C148',  'Siddharth', 'Gugale', 7201618, 'TMC', 32 , 2364, 'EL004');
INSERT INTO Candidate VALUES ('C149',  'Jatin', 'Mendonsa', 7052180, 'BSP', 32 , 2527, 'EL004');
INSERT INTO Candidate VALUES ('C150',  'Jeet', 'Shroff', 5529092, 'JDU', 32 , 2625, 'EL004');
INSERT INTO Candidate VALUES ('C151',  'Hetal', 'Kini', 8051641, 'BJP', 33 , 9167, 'EL006');
INSERT INTO Candidate VALUES ('C152',  'Nayana', 'Bansal', 9365135, 'INC', 33 , 10724, 'EL006');
INSERT INTO Candidate VALUES ('C153',  'Ayush', 'Nair', 6865676, 'JDU', 33 , 1319, 'EL006');
INSERT INTO Candidate VALUES ('C154',  'Parv', 'Nand', 6980814, 'TMC', 33 , 6986, 'EL006');
INSERT INTO Candidate VALUES ('C155',  'Shilpa', 'Das', 9854041, 'SP', 33 , 3079, 'EL006');
INSERT INTO Candidate VALUES ('C156',  'Warinder', 'Pai', 5432881, 'BJP', 34 , 1125, 'EL002');
INSERT INTO Candidate VALUES ('C157',  'Saksham', 'Kaur', 7171989, 'INC', 34 , 3271, 'EL002');
INSERT INTO Candidate VALUES ('C158',  'Mallika', 'Gamskar', 8408130, 'BSP', 34 , 3209, 'EL002');
INSERT INTO Candidate VALUES ('C159',  'Dona', 'Gugale', 6546028, 'BJP', 35 , 2298, 'EL003');
INSERT INTO Candidate VALUES ('C160',  'Deeksha', 'Anchan', 6533073, 'INC', 35 , 2508, 'EL003');
INSERT INTO Candidate VALUES ('C161',  'Girindra', 'Banerjee', 7071173, 'DMK', 35 , 2551, 'EL003');
INSERT INTO Candidate VALUES ('C162',  'Raj', 'Prajapati', 7444768, 'TMC', 35 , 2586, 'EL003');
INSERT INTO Candidate VALUES ('C163',  'Rushali', 'Sullad', 6512475, 'BJP', 36 , 3483, 'EL007');
INSERT INTO Candidate VALUES ('C164',  'Vishrutha', 'Saldanha', 7886721, 'INC', 36 , 3545, 'EL007');
INSERT INTO Candidate VALUES ('C165',  'Rachit', 'Kavser', 5612220, 'SP', 36 , 3740, 'EL007');
INSERT INTO Candidate VALUES ('C166',  'Anirudh', 'Kini', 9681417, 'TMC', 36 , 3757, 'EL007');
INSERT INTO Candidate VALUES ('C167',  'Dhiraj', 'Saniel', 7159301, 'JDU', 36 , 4203, 'EL007');
INSERT INTO Candidate VALUES ('C168',  'Indrajit', 'Uchil', 8336948, 'BJP', 37 , 9351, 'EL002');
INSERT INTO Candidate VALUES ('C169',  'Shrinidhi', 'Shet', 5114029, 'INC', 37 , 2710, 'EL002');
INSERT INTO Candidate VALUES ('C170',  'Taahira', 'Sheikh', 5395180, 'SS', 37 , 10210, 'EL002');
INSERT INTO Candidate VALUES ('C171',  'Monisha', 'Tipparti', 8254402, 'BJP', 38 , 7785, 'EL005');
INSERT INTO Candidate VALUES ('C172',  'Nitesh', 'Shah', 6417904, 'INC', 38 , 3196, 'EL005');
INSERT INTO Candidate VALUES ('C173',  'Saisha', 'Salian', 7668623, 'DMK', 38 , 3043, 'EL005');
INSERT INTO Candidate VALUES ('C174',  'Ronith', 'Mugeraya', 5174601, 'SS', 38 , 8363, 'EL005');
INSERT INTO Candidate VALUES ('C175',  'Shrishti', 'Ramesh', 7557991, 'JDU', 38 , 1247, 'EL005');
INSERT INTO Candidate VALUES ('C176',  'Dhiraj', 'Das', 7922884, 'BJP', 39 , 3572, 'EL006');
INSERT INTO Candidate VALUES ('C177',  'Rachit', 'Keshri', 7420420, 'INC', 39 , 4724, 'EL006');
INSERT INTO Candidate VALUES ('C178',  'Aashish', 'Kumari', 5096361, 'SS', 39 , 4689, 'EL006');
INSERT INTO Candidate VALUES ('C179',  'Tanveer', 'Pai', 5017240, 'TRS', 39 , 3773, 'EL006');
INSERT INTO Candidate VALUES ('C180',  'Tanveer', 'Shukla', 9789327, 'AAP', 39 , 4675, 'EL006');
INSERT INTO Candidate VALUES ('C181',  'Udarsh', 'Gamskar', 8459068, 'BJP', 40 , 4186, 'EL007');
INSERT INTO Candidate VALUES ('C182',  'Avi', 'Gamskar', 7988991, 'INC', 40 , 3440, 'EL007');
INSERT INTO Candidate VALUES ('C183',  'Niva', 'Padmanabha', 5898831, 'BJP', 41 , 3435, 'EL004');
INSERT INTO Candidate VALUES ('C184',  'Asmee', 'Hiremath', 7399242, 'INC', 41 , 3553, 'EL004');
INSERT INTO Candidate VALUES ('C185',  'Pramila', 'Adiga', 8614463, 'TMC', 41 , 3817, 'EL004');
INSERT INTO Candidate VALUES ('C186',  'Bhoomika', 'Patil', 7132822, 'TRS', 41 , 4112, 'EL004');
INSERT INTO Candidate VALUES ('C187',  'Sharanya', 'Rao', 7952843, 'AAP', 41 , 4178, 'EL004');
INSERT INTO Candidate VALUES ('C188',  'Mitesh', 'Bhat', 6968807, 'SP', 41 , 4497, 'EL004');
INSERT INTO Candidate VALUES ('C189',  'Akshatha', 'Shah', 6432314, 'BJP', 42 , 1695, 'EL005');
INSERT INTO Candidate VALUES ('C190',  'Reyansh', 'Moolya', 8809514, 'INC', 42 , 3794, 'EL005');
INSERT INTO Candidate VALUES ('C191',  'Nitesh', 'Almeida', 5894487, 'AAP', 42 , 3621, 'EL005');
INSERT INTO Candidate VALUES ('C192',  'Champak', 'Acharya', 6168765, 'TMC', 42 , 3135, 'EL005');
INSERT INTO Candidate VALUES ('C193',  'Apoorva', 'Das', 7442942, 'BJP', 43 , 2363, 'EL001');
INSERT INTO Candidate VALUES ('C194',  'Deekshitha', 'Babu', 9334966, 'INC', 43 , 2343, 'EL001');
INSERT INTO Candidate VALUES ('C195',  'Hemang', 'Kamath', 8490483, 'SS', 43 , 2288, 'EL001');
INSERT INTO Candidate VALUES ('C196',  'Adyasa', 'Shet', 9328269, 'JDU', 43 , 6063, 'EL001');
INSERT INTO Candidate VALUES ('C197',  'Deeksha', 'Manjunath', 7495536, 'TMC', 43 , 2980, 'EL001');
INSERT INTO Candidate VALUES ('C198',  'Suhasini', 'Nair', 6961800, 'BSP', 43 , 2951, 'EL001');
INSERT INTO Candidate VALUES ('C199',  'Dinella', 'Ramesh', 6172683, 'BJP', 44 , 4370, 'EL006');
INSERT INTO Candidate VALUES ('C200',  'Rayaan', 'Kini', 9833889, 'INC', 44 , 4398, 'EL006');
INSERT INTO Candidate VALUES ('C201',  'Bakhshi', 'Uchil', 7995363, 'SP', 44 , 9120, 'EL006');
INSERT INTO Candidate VALUES ('C202',  'Vibha', 'Shetty', 6492431, 'TRS', 44 , 9037, 'EL006');
INSERT INTO Candidate VALUES ('C203',  'Ratnakar', 'Rai', 5246743, 'AAP', 44 , 8977, 'EL006');
INSERT INTO Candidate VALUES ('C204',  'Naksh', 'Almeida', 8012472, 'BJP', 45 , 5527, 'EL002');
INSERT INTO Candidate VALUES ('C205',  'Faraj', 'Pai', 5094895, 'INC', 45 , 8926, 'EL002');
INSERT INTO Candidate VALUES ('C206',  'Laksh', 'Rai', 5902183, 'JDU', 45 , 2118, 'EL002');
INSERT INTO Candidate VALUES ('C207',  'Anirudh', 'Kaur', 6952137, 'BSP', 45 , 2480, 'EL002');
INSERT INTO Candidate VALUES ('C208',  'Zayan', 'Padmanabha', 5735869, 'BJP', 46 , 2307, 'EL003');
INSERT INTO Candidate VALUES ('C209',  'Prithvi', 'Nair', 5713317, 'INC', 46 , 7054, 'EL003');
INSERT INTO Candidate VALUES ('C210',  'Chandresh', 'Saldanha', 6530682, 'SP', 46 , 7913, 'EL003');
INSERT INTO Candidate VALUES ('C211',  'Swarna', 'Uchil', 8116572, 'BJP', 47 , 2410, 'EL008');
INSERT INTO Candidate VALUES ('C212',  'Divyesh', 'Bangera', 5924299, 'INC', 47 , 2459, 'EL008');
INSERT INTO Candidate VALUES ('C213',  'Avi', 'Das', 8679157, 'TMC', 47 , 2578, 'EL008');
INSERT INTO Candidate VALUES ('C214',  'Ayush', 'Bhardwaj', 9954946, 'TRS', 47 , 2603, 'EL008');
INSERT INTO Candidate VALUES ('C215',  'Kripa', 'Babu', 8944767, 'DMK', 47 , 2851, 'EL008');
INSERT INTO Candidate VALUES ('C216',  'Surabhi', 'Bhat', 8088257, 'BJP', 48 , 5864, 'EL005');
INSERT INTO Candidate VALUES ('C217',  'Adyasa', 'Naik', 8090731, 'INC', 48 , 5661, 'EL005');
INSERT INTO Candidate VALUES ('C218',  'Sanchitha', 'Prabhakaran', 7156271, 'JDU', 48 , 5483, 'EL005');
INSERT INTO Candidate VALUES ('C219',  'Swarna', 'Uchil', 7954049, 'AAP', 48 , 8672, 'EL005');
INSERT INTO Candidate VALUES ('C220',  'Ira', 'Moolya', 6304679, 'BJP', 49 , 1088, 'EL001');
INSERT INTO Candidate VALUES ('C221',  'Veena', 'Gugale', 8496279, 'INC', 49 , 1131, 'EL001');
INSERT INTO Candidate VALUES ('C222',  'Laksh', 'Dhamdhame', 7654385, 'JDU', 49 , 1238, 'EL001');
INSERT INTO Candidate VALUES ('C223',  'Girindra', 'Kini', 8581345, 'TMC', 49 , 1261, 'EL001');
INSERT INTO Candidate VALUES ('C224',  'Shahistha', 'Sheikh', 7851790, 'DMK', 49 , 1306, 'EL001');
INSERT INTO Candidate VALUES ('C225',  'Pranav', 'Banerjee', 6572523, 'BJP', 50 , 1087, 'EL002');
INSERT INTO Candidate VALUES ('C226',  'Arpitha', 'Manjunath', 5105501, 'INC', 50 , 1289, 'EL002');
INSERT INTO Candidate VALUES ('C227',  'Neeti', 'Singh', 9355458, 'DMK', 50 , 1310, 'EL002');
INSERT INTO Candidate VALUES ('C228',  'Saranya', 'Dalvi', 8531592, 'TMC', 50 , 1339, 'EL002');
INSERT INTO Candidate VALUES ('C229',  'Ryan', 'Andrade', 7017540, 'TRS', 50 , 2477, 'EL002');
INSERT INTO Candidate VALUES ('C230',  'Yatin', 'Shroff', 9520049, 'BJP', 51 , 1023, 'EL004');
INSERT INTO Candidate VALUES ('C231',  'Sahana', 'Prabhakaran', 5524451, 'INC', 51 , 1228, 'EL004');
